#SampleID	env_package	empo_1	empo_2	empo_3
11624.J40.120.26	human-associated	Host-associated	Animal	Animal secretion
13301.2014.066.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.801.A				
11442.G74120	misc environment	host-associated	not applicable	not applicable
13301.2014.066.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.729.A				
11442.G78814	misc environment	free-living	non-saline	surface (non-saline)
10308.P4C.F	water	Free-living	Saline	Water (saline)
11442.G79540	misc environment	not applicable	not applicable	not applicable
11442.G73716	misc environment	free-living	non-saline	surface (non-saline)
13414.99.midg	host-associated	Host-associated	Host-associated (saline)	Animal (saline)
11442.G79327	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB136A	water			
11442.G79570	misc environment	free-living	non-saline	surface (non-saline)
10218.T1.R6.6	soil			
11713.24.S.24E	human-skin	Host-associated	Animal-associated	Animal surface
10172.681	built environment			
11442.G78968	misc environment	free-living	non-saline	surface (non-saline)
11442.G73446	misc environment	free-living	non-saline	surface (non-saline)
11442.G79667	misc environment	host-associated	plant	plant-corpus
11166.ATL.24495.starling	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79617	misc environment	free-living	non-saline	surface (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
11442.G79481	misc environment	free-living	non-saline	surface (non-saline)
11442.G87544	misc environment	host-associated	not applicable	not applicable
14446.3510	water	Free-living	Non-saline	Water (non-saline)
11442.G78938	misc environment	free-living	non-saline	surface (non-saline)
11442.G79537	misc environment	not applicable	not applicable	not applicable
11442.G79650	misc environment	host-associated	plant	plant-corpus
11442.G79649	misc environment	host-associated	not applicable	not applicable
10137.Day.755.A				
11442.G83225	misc environment	not applicable	not applicable	not applicable
11400.NCF1.3.10.17	human-associated			
11624.K40.100.80	human-associated	Host-associated	Animal	Animal secretion
11442.G79536	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT22.STOOL.477	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79542	misc environment	not applicable	not applicable	not applicable
10218.MS00024	soil			
10485.B281	host-associated			
11442.G79743	misc environment	host-associated	plant	plant-corpus
13114.minich.76.s005	host-associated	Host-associated	Animal	Animal distal gut
11442.G83177	misc environment	not applicable	not applicable	not applicable
10442.WSB328	water			
11953.L381.tp4	host-associated	Host-associated	Animal-associated	Animal distal gut
11442.G78937	misc environment	free-living	non-saline	surface (non-saline)
12227.137.FT.5.skin	host-associated	Host-associated	Animal	Animal surface
10137.Day.795.A				
11740.27.6.MonTues.Swab.pa	built environment			
10442.WSB159C	water			
11442.G75815	misc environment	not applicable	not applicable	not applicable
10442.WSB170C	water			
10442.WSB335	water			
10403.7.15.14.NL7.S6	human-skin	Host-associated	Animal	Animal surface
11442.G83216	misc environment	host-associated	plant	plant-corpus
10218.3.8.13.B	soil			
11442.G79751	misc environment	not applicable	not applicable	not applicable
11442.G79342	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB157B	water			
10442.WSB162A	water			
10442.WSB161B	water			
10442.WSB137B	water			
10442.WSB174A	water			
11442.G83178	misc environment	not applicable	not applicable	not applicable
11442.G78950	misc environment	free-living	non-saline	surface (non-saline)
13092.000117153.covid	built environment	Free-living	Non-saline	Surface (non-saline)
13114.mousseau.88.s011	host-associated	Host-associated	Animal	Animal distal gut
10137.Day.751.A				
11442.G79748	misc environment	not applicable	not applicable	not applicable
12227.SAL.RAS.A.27.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G75808	misc environment	not applicable	not applicable	not applicable
11442.G78862	misc environment	free-living	non-saline	surface (non-saline)
11442.G79328	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT30.STOOL.680	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G73701	misc environment	free-living	non-saline	surface (non-saline)
11442.G75805	misc environment	not applicable	not applicable	not applicable
10137.Day.819.A				
10137.Day.723.A				
10353.BM	host-associated	Host-associated	Animal	Animal distal gut
12227.SAL.RAS.A.20.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10442.WSB760	water			
10485.A1466rep	host-associated			
11442.G79482	misc environment	free-living	non-saline	surface (non-saline)
14446.3638	water	Free-living	Non-saline	Water (non-saline)
