#SampleID	env_package	empo_1	empo_2	empo_3
10704.CC1607.022	host-associated	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT18.ORAL.284	human-oral	Host-associated	Animal-associated	Animal secretion
11713.21.S.21B	human-skin	Host-associated	Animal-associated	Animal surface
894.YY1630.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut
13301.2014.042.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
11166.ATL.24436.conure	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.21.L	host-associated		Host-associated	Host-associated (non-saline)
10218.3.8.13.B	soil			
11442.G83216	misc environment	host-associated	plant	plant-corpus
10485.A786	host-associated			
11624.K40.63.67	human-associated	Host-associated	Animal	Animal secretion
11712.SUBJECT16.STOOL.201	human-gut	Host-associated	Animal-associated	Animal distal gut
10485.A1325	host-associated			
11712.SUBJECT26.STOOL.567	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.K40.127.24	human-associated	Host-associated	Animal	Animal secretion
11740.36.2.ThursFri.Swab.pa	built environment			
13301.2014.052.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
11712.BLANK12.12A	misc environment	Control	Negative	Sterile water blank
11713.BLANK4.12F	misc environment	Control	Negative	Sterile water blank
10485.A1009	host-associated			
13301.2014.042.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
11358.1536	misc environment	Free-living	Non-saline	Surface (non-saline)
11442.G79360	misc environment	not applicable	not applicable	not applicable
11713.11.F.11D	human-gut	Host-associated	Animal-associated	Animal distal gut
11815.PWW.3575.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13301.2014.028.Fly.25.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.33.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
11692.11441.32o15	host-associated	Host-associated	Animal	Animal secretion
13301.2014.042.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
11713.8.F.8B	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2015.017.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75720	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT42.STOOL.1012	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2015.017.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.7.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.7.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.28.L	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.111.97	human-associated	Host-associated	Animal	Animal secretion
11624.J40.126.51	human-associated	Host-associated	Animal	Animal secretion
11712.SUBJECT43.STOOL.1073	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.34.L	host-associated		Host-associated	Host-associated (non-saline)
10218.3.7.13.A	soil			
11052.10.17.13.rk.lh	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11624.K40.5.41	human-associated	Host-associated	Animal	Animal secretion
11712.BLANK12.11F	misc environment	Control	Negative	Sterile water blank
10485.A587	host-associated			
11400.NCF1.3.17.17	human-associated			
