sample_name,season,subjects,add_0c,add_0c_group,facility,timepoint
soil.hip.CMU.17.04.2017.03.day14,winter,Mr 17-04,191.65,active,FIRS,14
soil.hip.CMU.17.04.2017.03.day11,winter,Mr 17-04,144.95,active,FIRS,11
soil.hip.CMU.17.04.2017.03.day12,winter,Mr 17-04,162.45,active,FIRS,12
soil.hip.CMU.17.04.2017.03.day9,winter,Mr 17-04,109.7,active,FIRS,9
soil.hip.CMU.17.04.2017.03.day7,winter,Mr 17-04,76.65,active,FIRS,7
soil.hip.CMU.17.04.2017.03.day8,winter,Mr 17-04,92.2,active,FIRS,8
soil.hip.CMU.17.10.2017.08.17.day9,summer,17-10,193.95,active,FIRS,9
soil.hip.CMU.17.10.2017.08.16.day8,summer,17-10,169.5,active,FIRS,8
soil.hip.CMU.17.10.2017.08.14.day6,summer,17-10,122.55,active,FIRS,6
soil.hip.CMU.17.10.2017.08.12.day4,summer,17-10,72,active,FIRS,4
soil.hip.CMU.16.09.2016.08.02.day8,summer,Mrs. 16-09,196.65,active,FIRS,8
soil.hip.CMU.16.09.2016.07.29.day4,summer,Mrs. 16-09,86.6,active,FIRS,4
soil.hip.CMU.16.09.2016.07.28.day3,summer,Mrs. 16-09,57.45,active,FIRS,3
soil.hip.CMU.17.12.2017.10.22.day13,fall,17-12,141.75,active,FIRS,13
soil.hip.CMU.17.12.2017.10.20.day11,fall,17-12,125.05,active,FIRS,11
soil.hip.CMU.17.12.2017.10.19.day10,fall,17-12,107.85,active,FIRS,10
soil.hip.CMU.17.12.2017.10.17.day8,fall,17-12,80.35,active,FIRS,8
soil.hip.CMU.17.12.2017.10.18.day9,fall,17-12,93.95,active,FIRS,9
soil.hip.CMU.17.12.2017.10.16.day7,fall,17-12,68.95,active,FIRS,7
soil.hip.CMU.17.12.2017.10.15.day6,fall,17-12,58.65,active,FIRS,6
soil.hip.CMU.16.10.2016.08.12.day7,summer,Mrs. 16-10,153.05,active,FIRS,7
soil.hip.CMU.16.10.2016.08.10.day5,summer,Mrs. 16-10,104.45,active,FIRS,5
soil.hip.CMU.16.10.2016.08.09.day4,summer,Mrs. 16-10,78.05,active,FIRS,4
soil.hip.CMU.17.12.2017.10.25.day16,fall,17-12,179,active,FIRS,16
soil.hip.CMU.17.12.2017.10.26.day17,fall,17-12,190.95,active,FIRS,17
soil.hip.CMU.16.05.2016.mo.day9,spring,CMU_Mrs._16_05,69.44444445,active,FIRS,9
