#SampleID	env_package	empo_1	empo_2	empo_3
13301.2015.015.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT23.ORAL.486	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT29.ORAL.610	human-oral	Host-associated	Animal-associated	Animal secretion
10218.3.9.13CtrlB	soil			
13301.2014.066.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
11366.BLANK5.7D	misc environment			
13301.2014.066.Fly.29.L	host-associated		Host-associated	Host-associated (non-saline)
13064.D1SS1	human-skin	Host-associated	Animal-associated	Animal surface
11712.SUBJECT22.STOOL.476	human-gut	Host-associated	Animal-associated	Animal distal gut
11366.14HM406.M.1	human-associated			
13301.2014.028.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT43.STOOL.1074	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.028.Fly.36.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT30.ORAL.654	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2014.042.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.38.T	host-associated		Host-associated	Host-associated (non-saline)
10863.PBS2.8H	microbial mat/biofilm			
13064.DH1CS1	human-skin	Host-associated	Animal-associated	Animal surface
11712.SUBJECT22.STOOL.477	human-gut	Host-associated	Animal-associated	Animal distal gut
11692.11441.9o0	host-associated	Host-associated	Animal	Animal secretion
13301.2014.066.Fly.4.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.123.4	human-associated	Host-associated	Animal	Animal secretion
11405.subject854.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10936.FD.0090.aardvark				
13301.2015.015.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.6.T				
13301.2015.015.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G78880	misc environment	free-living	non-saline	surface (non-saline)
11442.G79482	misc environment	free-living	non-saline	surface (non-saline)
11442.G78830	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.052.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.10.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
10894.HR4929	human-skin	Host-associated	Animal-associated	Animal surface
13301.2014.009.Fly.21.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.35.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
10936.FD.0089.aardvark				
11405.subject720.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT29.ORAL.608	human-oral	Host-associated	Animal-associated	Animal secretion
11405.subject726.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G72812	misc environment	host-associated	plant	plant-corpus
13301.2015.017.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.16.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.13.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
11166.FD.0090.aardvark	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11624.K40.73.36	human-associated	Host-associated	Animal	Animal secretion
