#SampleID	env_package	empo_1	empo_2	empo_3
11442.G75119	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
10863.PBS1.8H	microbial mat/biofilm			
13301.2014.052.Fly.28.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79317	misc environment	free-living	non-saline	surface (non-saline)
11442.G79320	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT23.STOOL.498	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2015.015.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.7.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75792	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.4.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79315	misc environment	free-living	non-saline	surface (non-saline)
11442.G79318	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.421	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2015.017.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79551	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.28.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79472	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.052.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75698	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79473	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.8.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G79617	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.15.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.15.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.7.L	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.14.T				
13301.2015.015.Fly.12.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79566	misc environment	free-living	non-saline	surface (non-saline)
11442.G75647	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.13.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75782	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.13.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75790	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.4.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.2.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79324	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.10.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject833.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79471	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
11442.G75791	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.26.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.29.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.2.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.15.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79611	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79550	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.053.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.34.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.5.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.35.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75808	misc environment	not applicable	not applicable	not applicable
13301.2015.015.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.23.L	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.26.T				
13301.2015.017.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.1.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.4.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.31.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT29.ORAL.608	human-oral	Host-associated	Animal-associated	Animal secretion
13301.2015.017.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.7.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.15.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.23.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79615	misc environment	free-living	non-saline	surface (non-saline)
10218.5.11.13.S.RA.G	soil			
13301.2015.017.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.25.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.26.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.37.T				
11166.TS.200.mongoose	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2015.015.Fly.5.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.26.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
